año,mes_numero,mes,precio
1994,1,ENERO,0.45
1994,2,FEBRERO,0.45
1994,3,MARZO,0.45
1994,4,ABRIL,0.45
1994,5,MAYO,0.45
1994,6,JUNIO,0.45
1994,7,JULIO,0.45
1994,8,AGOSTO,0.45
1994,9,SEPTIEMBRE,0.45
1994,10,OCTUBRE,0.45
1994,11,NOVIEMBRE,0.45
1994,12,DICIEMBRE,0.45
1995,1,ENERO,0.45
1995,2,FEBRERO,0.45
1995,3,MARZO,0.45
1995,4,ABRIL,0.45
1995,5,MAYO,0.45
1995,6,JUNIO,0.45
1995,7,JULIO,0.45
1995,8,AGOSTO,0.45
1995,9,SEPTIEMBRE,0.45
1995,10,OCTUBRE,0.45
1995,11,NOVIEMBRE,0.45
1995,12,DICIEMBRE,0.45
1996,1,ENERO,0.45
1996,2,FEBRERO,0.45
1996,3,MARZO,0.45
1996,4,ABRIL,0.45
1996,5,MAYO,0.45
1996,6,JUNIO,0.45
1996,7,JULIO,0.45
1996,8,AGOSTO,0.45
1996,9,SEPTIEMBRE,0.45
1996,10,OCTUBRE,0.5
1996,11,NOVIEMBRE,0.5
1996,12,DICIEMBRE,0.5
1997,1,ENERO,0.5
1997,2,FEBRERO,0.5
1997,3,MARZO,0.5
1997,4,ABRIL,0.5
1997,5,MAYO,0.5
1997,6,JUNIO,0.5
1997,7,JULIO,0.5
1997,8,AGOSTO,0.5
1997,9,SEPTIEMBRE,0.5
1997,10,OCTUBRE,0.5
1997,11,NOVIEMBRE,0.5
1997,12,DICIEMBRE,0.5
1998,1,ENERO,0.5
1998,2,FEBRERO,0.5
1998,3,MARZO,0.5
1998,4,ABRIL,0.5
1998,5,MAYO,0.5
1998,6,JUNIO,0.5
1998,7,JULIO,0.5
1998,8,AGOSTO,0.5
1998,9,SEPTIEMBRE,0.5
1998,10,OCTUBRE,0.5
1998,11,NOVIEMBRE,0.5
1998,12,DICIEMBRE,0.5
1999,1,ENERO,0.5
1999,2,FEBRERO,0.5
1999,3,MARZO,0.5
1999,4,ABRIL,0.5
1999,5,MAYO,0.6
1999,6,JUNIO,0.6
1999,7,JULIO,0.6
1999,8,AGOSTO,0.6
1999,9,SEPTIEMBRE,0.6
1999,10,OCTUBRE,0.6
1999,11,NOVIEMBRE,0.6
1999,12,DICIEMBRE,0.6
2000,1,ENERO,0.6
2000,2,FEBRERO,0.6
2000,3,MARZO,0.6
2000,4,ABRIL,0.6
2000,5,MAYO,0.6
2000,6,JUNIO,0.6
2000,7,JULIO,0.6
2000,8,AGOSTO,0.6
2000,9,SEPTIEMBRE,0.6
2000,10,OCTUBRE,0.6
2000,11,NOVIEMBRE,0.6
2000,12,DICIEMBRE,0.6
2001,1,ENERO,0.6
2001,2,FEBRERO,0.6
2001,3,MARZO,0.7
2001,4,ABRIL,0.7
2001,5,MAYO,0.7
2001,6,JUNIO,0.7
2001,7,JULIO,0.7
2001,8,AGOSTO,0.7
2001,9,SEPTIEMBRE,0.7
